symbol,coin,UCID
1INCHUSDT,1INCH,8104
SCRUSDT,SCR,26998
ZILUSDT,ZIL,2469
SNXUSDT,SNX,2586
ALTUSDT,ALT,29073
SSVUSDT,SSV,12999
QNTUSDT,QNT,3155
DEGOUSDT,DEGO,7087
DASHUSDT,DASH,131
LUNA2USDT,LUNA2,27501
ZECUSDT,ZEC,1437
1000WHYUSDT,WHY,30867
YFIUSDT,YFI,5864
ICXUSDT,ICX,2099
CATIUSDT,CATI,32966
OMNIUSDT,OMNI,30315
MINAUSDT,MINA,8646
AEVOUSDT,AEVO,29676
LUMIAUSDT,LUMIA,33439
ONTUSDT,ONT,2566
QTUMUSDT,QTUM,1684
CAKEUSDT,CAKE,7186
DFUSDT,DF,4758
ROSEUSDT,ROSE,7653
PIXELUSDT,PIXEL,29335
BLURUSDT,BLUR,23121
GUSDT,G,32120
TOKENUSDT,TOKEN,28299
ACXUSDT,ACX,22620
MEWUSDT,MEW,30126
PORTALUSDT,PORTAL,29555
SWELLUSDT,SWELL,24924
SYNUSDT,SYN,12147
KOMAUSDT,KOMA,33405
PONKEUSDT,PONKE,29150
BANANAUSDT,BANANA,28066
ENJUSDT,ENJ,2130
AUCTIONUSDT,AUCTION,8602
ORCAUSDT,ORCA,11165
IDUSDT,ID,21846
RAREUSDT,RARE,11294
TRUUSDT,TRU,7725
SUPERUSDT,SUPER,8290
KDAUSDT,KDA,5647
KMNOUSDT,KMNO,30986
NFPUSDT,NFP,28778
DYMUSDT,DYM,28932
SAFEUSDT,SAFE,21585
ACHUSDT,ACH,6958
FIDAUSDT,FIDA,7978
ASTRUSDT,ASTR,12885
BTCDOMUSDT,BTCDOM,
VANRYUSDT,VANRY,8037
FXSUSDT,FXS,6953
TNSRUSDT,TNSR,30449
CKBUSDT,CKB,4948
CHRUSDT,CHR,3978
LRCUSDT,LRC,1934
MYROUSDT,MYRO,28382
HOTUSDT,HOT,2682
GTCUSDT,GTC,10052
CELRUSDT,CELR,3814
GMXUSDT,GMX,11857
COTIUSDT,COTI,3992
ALICEUSDT,ALICE,8766
METISUSDT,METIS,9640
DENTUSDT,DENT,1886
FLMUSDT,FLM,7150
OGNUSDT,OGN,5117
LQTYUSDT,LQTY,7429
C98USDT,C98,10903
YGGUSDT,YGG,10688
UMAUSDT,UMA,5617
MOVRUSDT,MOVR,9285
HIGHUSDT,HIGH,11232
MAVUSDT,MAV,18037
BAKEUSDT,BAKE,7064
DUSKUSDT,DUSK,4092
PHBUSDT,PHB,13969
SKLUSDT,SKL,5691
ZETAUSDT,ZETA,21259
BNXUSDT,BNX,23635
AXLUSDT,AXL,17799
LITUSDT,LIT,6833
ALPHAUSDT,ALPHA,7232
NMRUSDT,NMR,1732
RDNTUSDT,RDNT,21106
RLCUSDT,RLC,1637
RONINUSDT,RONIN,14101
REEFUSDT,REEF,6951
ACEUSDT,ACE,28674
HOOKUSDT,HOOK,22764
IOTXUSDT,IOTX,2777
AMBUSDT,AMB,2081
LINAUSDT,LINA,7102
API3USDT,API3,7737
SCRTUSDT,SCRT,5604
FIOUSDT,FIO,5865
CYBERUSDT,CYBER,24781
SANTOSUSDT,SANTOS,15248
LEVERUSDT,LEVER,20873
VIDTUSDT,VIDT,22710
BADGERUSDT,BADGER,7859
REZUSDT,REZ,30843
TLMUSDT,TLM,9119
BANDUSDT,BAND,4679
RVNUSDT,RVN,2577
COMBOUSDT,COMBO,4275
AKTUSDT,AKT,7431
EDUUSDT,EDU,24613
ILVUSDT,ILV,8719
MBOXUSDT,MBOX,9175
CHESSUSDT,CHESS,10974
ETHWUSDT,ETHW,21296
CTSIUSDT,CTSI,5444
OXTUSDT,OXT,5026
SPELLUSDT,SPELL,11289
1000XUSDT,X,33108
SUNUSDT,SUN,10529
USTCUSDT,USTC,7129
NKNUSDT,NKN,2780
BICOUSDT,BICO,9543
BELUSDT,BEL,6928
HFTUSDT,HFT,22461
JOEUSDT,JOE,11396
SLERFUSDT,SLERF,29920
SYSUSDT,SYS,541
COSUSDT,COS,4036
SFPUSDT,SFP,8119
NTRNUSDT,NTRN,26680
ARPAUSDT,ARPA,4039
DODOXUSDT,DODOX,7224
BSWUSDT,BSW,10746
PERPUSDT,PERP,6950
TWTUSDT,TWT,5964
RIFUSDT,RIF,3701
BALUSDT,BAL,5728
RPLUSDT,RPL,2943
FLUXUSDT,FLUX,3029
DIAUSDT,DIA,6138
OMGUSDT,OMG,1808
VOXELUSDT,VOXEL,15678
LOKAUSDT,LOKA,17145
BNTUSDT,BNT,1727
GHSTUSDT,GHST,7046
QUICKUSDT,QUICK,19966
ALPACAUSDT,ALPACA,8707
NULSUSDT,NULS,2092
REIUSDT,REI,19819
DEFIUSDT,DEFI,
CTKUSDT,CTK,4807
CVCUSDT,CVC,1816
DGBUSDT,DGB,109
